,idParlamentario,Proyectos
0,100669,100
1,100682,100
2,100671,94
3,100646,125
4,100655,141
5,100670,610
6,100666,59
7,100665,59
8,100664,244
9,100652,52
10,100905,144
11,100678,86
12,100648,200
13,100650,52
14,100663,664
15,100685,210
16,100649,561
17,100653,210
18,100679,229
19,100660,327
20,100681,228
21,100683,2
22,100686,636
23,100688,157
24,100662,130
25,100661,20
26,100672,59
27,100651,162
28,100659,130
29,100647,2
30,100965,149
31,100676,118
32,101105,533
33,100654,1
34,100677,622
35,100684,107
36,100675,190
37,100680,266
38,100689,427
39,101106,18
40,100687,81
41,100657,35
42,100656,688
43,100667,201
44,100674,10
45,100673,62
46,100767,73
47,100755,134
48,100761,115
49,100805,61
50,101005,235
51,19,13
52,100058,84
53,6,9
54,135,7
55,100107,177
56,209,64
57,271,3
58,100304,150
59,9,7
60,252,14
61,274,149
62,36,1
63,100088,62
64,281,39
65,24,12
66,279,46
67,264,14
68,49,3
69,247,36
70,173,92
71,100136,53
72,150,30
73,100137,35
74,282,20
75,163,61
76,16,13
77,140,8
78,212,21
79,101065,118
80,100053,199
81,100047,313
82,35,5
83,154,41
84,100131,90
85,84,41
86,148,164
87,100146,61
88,119,15
89,100802,323
90,100766,154
91,13,37
92,141,2
93,130,21
94,100090,69
95,100080,111
96,100079,74
97,100140,132
98,167,52
99,181,44
100,100044,47
101,113,12
102,224,79
103,74,10
104,17,2
105,234,7
106,100768,93
107,100756,934
108,100788,128
109,100782,162
110,100757,509
111,100748,155
112,100801,168
113,100826,98
114,32,35
115,101207,39
116,100103,46
117,100052,545
118,100139,303
119,182,83
120,108,9
121,100093,13
122,78,4
123,218,280
124,121,17
125,104,5
126,103,27
127,27,8
128,262,42
129,147,276
130,64,23
131,101227,50
132,97,16
133,101045,22
134,100116,261
135,93,11
136,265,61
137,183,54
138,202,80
139,172,60
140,162,21
141,251,8
142,100135,221
143,100143,46
144,100172,46
145,2,29
146,100067,62
147,100769,6
148,87,22
149,100152,65
150,100807,134
151,100819,98
152,101267,126
153,89,4
154,100069,196
155,100158,78
156,100077,72
157,187,92
158,100076,202
159,199,75
160,100147,197
161,94,2
162,22,8
163,100792,224
164,100813,94
165,100811,133
166,100759,81
167,100791,117
168,100779,75
169,100797,31
170,100796,193
171,100751,41
172,100784,77
173,100785,43
174,100115,89
175,100925,281
176,105,9
177,100125,109
178,65,26
179,100074,242
180,176,43
181,100138,34
182,186,28
183,152,86
184,100046,159
185,38,21
186,283,4
187,232,37
188,100112,80
189,100059,65
190,100151,64
191,157,43
192,100060,45
193,83,21
194,100114,101
195,100082,285
196,30,12
197,136,9
198,192,32
199,100109,92
200,101085,80
201,100817,218
202,100764,68
203,100071,202
204,229,75
205,95,25
206,100087,246
207,100048,245
208,100303,41
209,11,1
210,208,7
211,82,8
212,100097,60
213,100175,1
214,100787,36
215,100108,45
216,276,11
217,101237,22
218,12,2
219,193,75
220,62,26
221,100055,38
222,100816,48
223,100762,399
224,100820,78
225,100745,250
226,100798,50
227,139,11
228,195,135
229,241,79
230,100129,76
231,100144,73
232,158,69
233,275,26
234,100148,342
235,100786,65
236,133,8
237,100153,92
238,66,47
239,100163,40
240,118,16
241,144,2
242,80,22
243,245,23
244,100812,128
245,100815,625
246,100822,106
247,100772,3
248,100846,28
249,100747,423
250,100793,38
251,100804,763
252,100752,146
253,100062,121
254,179,32
255,100134,131
256,100133,116
257,161,98
258,257,51
259,100171,81
260,101277,4
261,138,15
262,100092,207
263,100104,97
264,79,13
265,100154,156
266,44,22
267,101217,38
268,166,64
269,127,26
270,77,21
271,100166,146
272,132,22
273,250,60
274,45,34
275,100885,86
276,100073,33
277,100086,45
278,102,10
279,100068,139
280,221,44
281,75,18
282,96,15
283,101197,73
284,117,16
285,169,55
286,100,3
287,101,10
288,100063,20
289,100051,74
290,134,15
291,100064,65
292,190,71
293,100170,146
294,100070,62
295,4,13
296,226,63
297,159,126
298,100806,465
299,100078,330
300,100760,83
301,142,6
302,100043,35
303,267,6
304,128,12
305,145,1
306,101247,43
307,115,11
308,259,15
309,100045,250
310,92,17
311,100075,118
312,194,74
313,72,10
314,174,173
315,256,8
316,100763,154
317,100803,95
318,100789,2
319,100808,249
320,100795,104
321,100765,68
322,100821,31
323,100780,160
324,100794,104
325,67,19
326,216,41
327,73,3
328,106,30
329,261,19
330,100165,122
331,189,82
332,137,6
333,100081,235
334,126,19
335,90,25
336,100124,75
337,100113,250
338,88,17
339,273,22
340,100096,89
341,100167,78
342,255,17
343,100156,99
344,101025,338
345,100159,456
346,238,39
347,69,10
348,100083,113
349,100111,81
350,81,8
351,100161,99
352,260,28
353,100084,136
354,21,8
355,100866,86
356,100089,233
357,34,15
358,210,35
359,116,24
360,18,19
361,146,1
362,100781,84
363,100774,58
364,100778,322
365,175,50
366,100106,62
367,100100,85
368,1,19
369,215,17
370,100149,65
371,120,2
372,101145,43
373,100072,1717
374,71,31
375,100123,120
376,205,83
377,100054,69
378,168,14
379,124,25
380,100101,265
381,217,64
382,98,12
383,100066,697
384,100085,46
385,60,44
386,100169,111
387,61,7
388,100775,150
389,100777,92
390,100130,110
391,100095,144
392,46,4
393,178,55
394,109,7
395,100098,134
396,100110,114
397,231,9
398,122,21
399,100102,57
400,285,9
401,100091,42
402,100168,58
403,100758,34
404,100749,172
405,100783,20
406,100790,41
407,100809,104
408,100825,55
409,100753,374
410,100818,44
411,68,25
412,100128,440
413,40,5
414,63,10
415,112,27
416,91,4
417,101257,44
418,100155,216
419,100605,4
420,123,4
421,100105,93
422,100865,80
423,244,12
424,28,17
425,99,30
426,100776,74
427,100770,62
428,100145,102
429,100150,68
430,100061,86
431,85,22
432,100065,277
433,100799,115
434,100800,737
435,100750,19
436,125,11
437,111,16
438,100132,80
439,100754,27
440,100773,33
441,101165,6
442,207,82
443,156,149
444,180,36
445,177,72
446,225,126
447,100658,299
448,100094,80
449,131,9
450,100405,1
451,100099,30
452,242,5
453,100142,110
454,110,19
455,100810,145
456,100126,117
457,86,26
458,164,63
459,100057,74
460,107,10
461,100945,58
